,Unnamed: 0,Unnamed: 0.1,Timestamp,Open,High,Low,Close,Volume,24m Volume RA,24m Close Price RA
0,0,2019-01-18 10:31:00+00:00,2019-01-18 10:31:00+00:00,4.273e-05,4.273e-05,4.254e-05,4.268e-05,16,16.0,4.268e-05
1,1,2019-01-18 10:32:00+00:00,2019-01-18 10:32:00+00:00,4.26e-05,4.293e-05,4.26e-05,4.263e-05,35,25.5,4.2655e-05
2,2,2019-01-18 10:33:00+00:00,2019-01-18 10:33:00+00:00,4.264e-05,4.3e-05,4.258e-05,4.267e-05,37,29.33333333333333,4.266e-05
3,3,2019-01-18 10:34:00+00:00,2019-01-18 10:34:00+00:00,4.2700000000000015e-05,4.301e-05,4.262e-05,4.281e-05,22,27.5,4.26975e-05
4,4,2019-01-18 10:35:00+00:00,2019-01-18 10:35:00+00:00,4.29e-05,4.297e-05,4.261e-05,4.262e-05,29,27.8,4.2682e-05
5,5,2019-01-18 10:36:00+00:00,2019-01-18 10:36:00+00:00,4.262e-05,4.283e-05,4.241e-05,4.246e-05,16,25.83333333333333,4.2645e-05
6,6,2019-01-18 10:37:00+00:00,2019-01-18 10:37:00+00:00,4.244e-05,4.262e-05,4.235e-05,4.24e-05,21,25.142857142857146,4.261e-05
7,7,2019-01-18 10:38:00+00:00,2019-01-18 10:38:00+00:00,4.239e-05,4.248e-05,4.214e-05,4.214e-05,34,26.25,4.255125e-05
8,8,2019-01-18 10:39:00+00:00,2019-01-18 10:39:00+00:00,4.213e-05,4.214e-05,4.184e-05,4.199e-05,47,28.555555555555557,4.248888888888888e-05
9,9,2019-01-18 10:40:00+00:00,2019-01-18 10:40:00+00:00,4.2e-05,4.22e-05,4.192e-05,4.2100000000000014e-05,22,27.9,4.245e-05
10,10,2019-01-18 10:41:00+00:00,2019-01-18 10:41:00+00:00,4.209e-05,4.209e-05,4.181e-05,4.187e-05,21,27.272727272727273,4.239727272727273e-05
11,11,2019-01-18 10:42:00+00:00,2019-01-18 10:42:00+00:00,4.182e-05,4.196e-05,4.147e-05,4.148e-05,53,29.41666666666667,4.2320833333333337e-05
12,12,2019-01-18 10:43:00+00:00,2019-01-18 10:43:00+00:00,4.165e-05,4.171e-05,4.146e-05,4.154e-05,49,30.92307692307693,4.226076923076923e-05
13,13,2019-01-18 10:44:00+00:00,2019-01-18 10:44:00+00:00,4.162e-05,4.166e-05,4.15e-05,4.15e-05,21,30.214285714285715,4.220642857142857e-05
14,14,2019-01-18 10:45:00+00:00,2019-01-18 10:45:00+00:00,4.147e-05,4.147e-05,4.145e-05,4.146e-05,9,28.8,4.215666666666666e-05
15,15,2019-01-18 10:46:00+00:00,2019-01-18 10:46:00+00:00,4.147e-05,4.147e-05,4.048e-05,4.072e-05,197,39.3125,4.2066875e-05
16,16,2019-01-18 10:47:00+00:00,2019-01-18 10:47:00+00:00,4.078e-05,4.107e-05,4.072e-05,4.107e-05,63,40.70588235294117,4.2008235294117654e-05
17,17,2019-01-18 10:48:00+00:00,2019-01-18 10:48:00+00:00,4.107e-05,4.107e-05,4.088e-05,4.102e-05,32,40.22222222222222,4.195333333333334e-05
18,18,2019-01-18 10:49:00+00:00,2019-01-18 10:49:00+00:00,4.099e-05,4.1e-05,4.075e-05,4.083e-05,22,39.26315789473684,4.18942105263158e-05
19,19,2019-01-18 10:50:00+00:00,2019-01-18 10:50:00+00:00,4.083e-05,4.094e-05,4.072e-05,4.094e-05,15,38.05,4.1846499999999986e-05
20,20,2019-01-18 10:51:00+00:00,2019-01-18 10:51:00+00:00,4.086e-05,4.093e-05,4.076e-05,4.093e-05,26,37.476190476190474,4.180285714285714e-05
21,21,2019-01-18 10:52:00+00:00,2019-01-18 10:52:00+00:00,4.08e-05,4.084e-05,4.058e-05,4.083e-05,27,37.0,4.1758636363636356e-05
22,22,2019-01-18 10:53:00+00:00,2019-01-18 10:53:00+00:00,4.059e-05,4.083e-05,4.048e-05,4.082e-05,36,36.95652173913044,4.171782608695653e-05
23,23,2019-01-18 10:54:00+00:00,2019-01-18 10:54:00+00:00,4.082e-05,4.082e-05,4.068e-05,4.072e-05,12,35.916666666666664,4.167625e-05
24,24,2019-01-18 10:55:00+00:00,2019-01-18 10:55:00+00:00,4.081e-05,4.082e-05,4.051e-05,4.052e-05,27,36.375,4.158625e-05
25,25,2019-01-18 10:56:00+00:00,2019-01-18 10:56:00+00:00,4.067e-05,4.069e-05,4.053e-05,4.069e-05,20,35.75,4.150541666666666e-05
26,26,2019-01-18 10:57:00+00:00,2019-01-18 10:57:00+00:00,4.073e-05,4.081e-05,4.059e-05,4.079e-05,18,34.958333333333336,4.142708333333332e-05
27,27,2019-01-18 10:58:00+00:00,2019-01-18 10:58:00+00:00,4.062e-05,4.074e-05,4.062e-05,4.074e-05,5,34.25,4.134083333333333e-05
28,28,2019-01-18 10:59:00+00:00,2019-01-18 10:59:00+00:00,4.067e-05,4.08e-05,4.05e-05,4.05e-05,28,34.208333333333336,4.1252499999999985e-05
